"Fund Category","Fund Name","AmfiCode","Plan Name","NAV Date","NAV Amount"
"Equity","HDFC Flexi Cap Fund","101763","HDFC Flexi Cap Fund - Regular Plan - IDCW Option","25 Nov, 2025","81.9470"
"Equity","HDFC Flexi Cap Fund","118954","HDFC Flexi Cap Fund - Direct Plan - IDCW Option","25 Nov, 2025","98.8460"
"Equity","HDFC Flexi Cap Fund","101762","HDFC Flexi Cap Fund - Regular Plan - Growth Option","25 Nov, 2025","2,067.2850"
"Equity","HDFC Flexi Cap Fund","118955","HDFC Flexi Cap Fund - Direct Plan - Growth Option","25 Nov, 2025","2,265.4920"
"Equity","HDFC Large and Mid Cap Fund","130497","HDFC Large and Mid Cap Fund - Regular Plan - IDCW  Reinvestment Option","25 Nov, 2025","38.2980"
"Equity","HDFC Large and Mid Cap Fund","130499","HDFC Large and Mid Cap Fund  - Direct Plan - IDCW Reinvestment Option","25 Nov, 2025","50.1740"
"Equity","HDFC Large and Mid Cap Fund","130496","HDFC Large and Mid Cap Fund - Regular Plan - Growth Option","25 Nov, 2025","347.9760"
"Equity","HDFC Large and Mid Cap Fund","130498","HDFC Large and Mid Cap Fund - Direct Plan - Growth Option","25 Nov, 2025","366.9260"
"Equity","HDFC Mid Cap Fund","105757","HDFC Mid Cap Fund - IDCW Option","25 Nov, 2025","55.9620"
"Equity","HDFC Mid Cap Fund","118988","HDFC Mid Cap Fund - Direct Plan - IDCW Option","25 Nov, 2025","84.5980"
"Equity","HDFC Mid Cap Fund","105758","HDFC Mid Cap Fund - Growth Option","25 Nov, 2025","203.0780"
"Equity","HDFC Mid Cap Fund","118989","HDFC Mid Cap Fund - Direct Plan - Growth Option","25 Nov, 2025","224.1460"
"Equity","HDFC Small Cap Fund","130501","HDFC Small Cap Fund - Regular Plan - IDCW Option","25 Nov, 2025","45.0260"
"Equity","HDFC Small Cap Fund","130504","HDFC Small Cap Fund - Direct Plan - IDCW Option","25 Nov, 2025","69.0540"
"Equity","HDFC Small Cap Fund","130502","HDFC Small Cap Fund - Regular Plan - Growth Option","25 Nov, 2025","140.1810"
"Equity","HDFC Small Cap Fund","130503","HDFC Small Cap Fund - Direct Plan - Growth Option","25 Nov, 2025","159.8670"
"Equity","HDFC Infrastructure Fund","107525","HDFC Infrastructure Fund - IDCW","25 Nov, 2025","20.4920"
"Equity","HDFC Infrastructure Fund","118978","HDFC Infrastructure Fund - Direct Plan - IDCW","25 Nov, 2025","32.4280"
"Equity","HDFC Infrastructure Fund","107524","HDFC Infrastructure Fund - Growth","25 Nov, 2025","47.7830"
"Equity","HDFC Infrastructure Fund","118979","HDFC Infrastructure Fund - Direct Plan - Growth Option","25 Nov, 2025","52.9910"
"Equity","HDFC Housing Opportunities Fund","141922","HDFC Housing Opportunities Fund - Regular Option - IDCW Option","25 Nov, 2025","16.0570"
"Equity","HDFC Housing Opportunities Fund","141921","HDFC Housing Opportunities Fund - Direct Option - IDCW Option","25 Nov, 2025","17.8120"
"Equity","HDFC Housing Opportunities Fund","141923","HDFC Housing Opportunities Fund - Regular Option - Growth Option","25 Nov, 2025","22.3980"
"Equity","HDFC Housing Opportunities Fund","141924","HDFC Housing Opportunities Fund -  Direct Option - Growth Option","25 Nov, 2025","24.2910"
"Equity","HDFC Large Cap Fund","102001","HDFC Top 100 Fund - Regular Plan - IDCW Option","25 Nov, 2025","58.9460"
"Equity","HDFC Large Cap Fund","119017","HDFC Top 100 Fund - Direct Plan - IDCW Option","25 Nov, 2025","69.5660"
"Equity","HDFC Large Cap Fund","102000","HDFC Top 100 Fund - Regular Plan - Growth Option","25 Nov, 2025","1,167.6750"
"Equity","HDFC Large Cap Fund","119018","HDFC Top 100 Fund - Direct Plan - Growth Option","25 Nov, 2025","1,265.5970"
"Equity","HDFC Value Fund","101765","HDFC Value Fund - Regular Plan - IDCW Option","25 Nov, 2025","35.7680"
"Equity","HDFC Value Fund","118934","HDFC Value Fund - Direct Plan - IDCW Option","25 Nov, 2025","44.5110"
"Equity","HDFC Value Fund","101764","HDFC Value Fund - Regular Plan - Growth Option","25 Nov, 2025","768.1100"
"Equity","HDFC Value Fund","118935","HDFC Value Fund - Direct Plan - Growth Option","25 Nov, 2025","860.4520"
"Equity","HDFC Focused Fund","102761","HDFC Focused Fund - Regular Plan - IDCW Option","25 Nov, 2025","26.4970"
"Equity","HDFC Focused Fund","118949","HDFC Focused Fund - Direct Plan - IDCW Option","25 Nov, 2025","34.5270"
"Equity","HDFC Focused Fund","102760","HDFC Focused Fund - Regular Plan - Growth Option","25 Nov, 2025","238.6520"
"Equity","HDFC Focused Fund","118950","HDFC Focused Fund - Direct Plan - Growth Option","25 Nov, 2025","271.5830"
"Equity","HDFC Growth Opportunities Fund","130497","HDFC Growth Opportunities Fund - IDCW Option","25 Jun, 2021","21.9770"
"Equity","HDFC Growth Opportunities Fund","130499","HDFC Growth Opportunities Fund - IDCW Option - Direct Plan","25 Jun, 2021","26.7140"
"Equity","HDFC Growth Opportunities Fund","130496","HDFC Growth Opportunities Fund - Growth Option","25 Jun, 2021","164.8900"
"Equity","HDFC Growth Opportunities Fund","130498","HDFC Growth Opportunities Fund - Growth Option - Direct Plan","25 Jun, 2021","167.8990"
"Equity","HDFC Dividend Yield Fund","148611","HDFC Dividend Yield Fund - Regular Plan - IDCW Option","25 Nov, 2025","21.6150"
"Equity","HDFC Dividend Yield Fund","148608","HDFC Dividend Yield Fund - Direct Plan - IDCW Option","25 Nov, 2025","23.4120"
"Equity","HDFC Dividend Yield Fund","148610","HDFC Dividend Yield Fund - Regular Plan - Growth Option","25 Nov, 2025","25.2000"
"Equity","HDFC Dividend Yield Fund","148609","HDFC Dividend Yield Fund - Direct Plan - Growth Option","25 Nov, 2025","27.0080"
"Equity","HDFC Banking & Financial Services Fund","148984","HDFC Banking and Financial Services Fund Regular IDCW","25 Nov, 2025","15.7050"
"Equity","HDFC Banking & Financial Services Fund","148985","HDFC Banking and Financial Services Fund Direct IDCW","25 Nov, 2025","16.8490"
"Equity","HDFC Banking & Financial Services Fund","148987","HDFC Banking and Financial Services Fund Regular Growth","25 Nov, 2025","17.8920"
"Equity","HDFC Banking & Financial Services Fund","148986","HDFC Banking and Financial Services Fund Direct Growth","25 Nov, 2025","19.0640"
"Equity","HDFC Multi Cap Fund","149365","HDFC Multi Cap Fund - Regular Plan - IDCW Option","25 Nov, 2025","18.2190"
"Equity","HDFC Multi Cap Fund","149367","HDFC Multi Cap Fund - IDCW Option - Direct Plan","25 Nov, 2025","19.2270"
"Equity","HDFC Multi Cap Fund","149366","HDFC Multi Cap Fund - Regular Plan - Growth Option","25 Nov, 2025","19.2260"
